AirQualityStation,Countrycode,Latitude,Longitude,no2,o3,pm10,traffic,industrial,background,rural,suburban,urban,nox_traffic,nox_industrial,nox_urban,nox_port_shipping,nox_other,nox_total,nox_share_traffic,nox_share_industrial,nox_share_urban,nox_share_port_shipping,nox_share_other,nox_dom_modeled,nox_dom_modeled_sh,nox_dom_all,nox_nonmodeled_dominant,nox_present_traffic,nox_present_industrial,nox_present_urban,nox_present_port_shipping,pm10_traffic,pm10_industrial,pm10_urban,pm10_port_shipping,pm10_other,pm10_total,pm10_share_traffic,pm10_share_industrial,pm10_share_urban,pm10_share_port_shipping,pm10_share_other,pm10_dom_modeled,pm10_dom_modeled_sh,pm10_dom_all,pm10_nonmodeled_dominant,pm10_present_traffic,pm10_present_industrial,pm10_present_urban,pm10_present_port_shipping
STA-FR16017,FR,48.91936,8.15846,12.36462498,49.73446759,16.71373913,0,0,1,1,0,0,7.237235e-05,1.5734457e-06,6.4586725e-06,1.2181143e-05,4.3079895e-06,9.68936e-05,0.746926,0.016238902,0.06665737,0.12571669,0.04446103,traffic,0.746926,traffic,False,True,True,True,True,6.808966e-06,2.3946031e-06,1.7730283e-05,6.372918e-07,6.7424053e-06,3.4313547e-05,0.19843376,0.06978594,0.5167138,0.0185726,0.19649397,urban,0.5167138,urban,False,True,True,True,True
STA_ES1654A,ES,37.99435,-5.66687,2.665823425,60.31177885,17.55128205,0,0,1,1,0,0,3.6320062e-06,0.0,4.808981e-07,0.0,2.4159962e-07,4.3545037e-06,0.8340804,0.0,0.110436946,0.0,0.0554827,traffic,0.8340804,traffic,False,True,False,True,False,3.8386915e-07,0.0,6.2092863e-07,0.0,9.258458e-07,1.9306437e-06,0.1988296,0.0,0.3216174,0.0,0.4795529,urban,0.3216174,other,True,True,False,True,False
STA_ES0339A,ES,43.68627,-7.50778,3.6149467,44.10893443,11.11988345,0,1,0,0,1,0,2.4516296e-05,3.472924e-06,3.0122967e-06,3.3937024e-06,2.0924674e-06,3.648769e-05,0.67190593,0.0951807,0.082556516,0.09300952,0.057347216,traffic,0.67190593,traffic,False,True,True,True,True,2.5468642e-06,3.7456812e-06,6.1082005e-06,1.3654403e-07,2.8110026e-06,1.534829e-05,0.16593798,0.2440455,0.3979727,0.008896368,0.1831476,urban,0.3979727,urban,False,True,True,True,True
STA-FR18043,FR,49.25955,2.4744,21.87640488,47.14845347,18.7918892,0,0,1,0,0,1,5.529581e-05,2.0021651e-05,3.2515454e-05,2.4646621e-07,1.6014577e-05,0.00012409396,0.4455963,0.16134267,0.26202285,0.0019861257,0.12905203,traffic,0.4455963,traffic,False,True,True,True,True,5.7237853e-06,4.6151767e-05,5.95905e-05,2.1007535e-08,8.007263e-06,0.00011949433,0.04790006,0.38622558,0.49868894,0.00017580361,0.06700957,urban,0.49868894,urban,False,True,True,True,True
STA_ES1836A,ES,41.64222,-0.86194,25.8659693,53.35028251,12.20455638,1,0,0,0,0,1,0.000100397614,3.336723e-05,4.5525183e-05,0.0,2.1013608e-05,0.00020030362,0.50122714,0.16658325,0.22728088,0.0,0.10490878,traffic,0.50122714,traffic,False,True,True,True,False,1.0441639e-05,3.598783e-05,1.6483167e-05,0.0,1.51493805e-05,7.806201e-05,0.13376082,0.4610159,0.21115479,0.0,0.19406854,industrial,0.4610159,industrial,False,True,True,True,False
STA_ES1790A,ES,42.54278,-6.58472,7.943568465,49.17041134,18.80559749,0,1,0,0,1,0,9.305432e-06,1.4857842e-06,5.1051284e-06,0.0,2.7653175e-06,1.8661662e-05,0.498639,0.07961693,0.27356237,0.0,0.14818174,traffic,0.498639,traffic,False,True,True,True,False,9.834981e-07,1.6024749e-06,2.3573588e-05,0.0,1.8173776e-06,2.797694e-05,0.035153884,0.05727842,0.8426078,0.0,0.06495984,urban,0.8426078,urban,False,True,True,True,False
STA_ES1441A,ES,40.63722,-0.09111,3.049161498,93.01956046,7.63030303,0,1,0,1,0,0,5.2258797e-06,0.0,5.6484777e-07,0.0,6.007076e-07,6.3914345e-06,0.817638,0.0,0.08837574,0.0,0.093986355,traffic,0.817638,traffic,False,True,False,True,False,5.2997547e-07,0.0,9.557461e-07,0.0,4.1829367e-06,5.6686586e-06,0.09349222,0.0,0.16860183,0.0,0.7379059,urban,0.16860183,other,True,True,False,True,False
STA.DE_DEMV019,DE,53.78175,12.17551,9.849489818,55.06230124,18.355824,0,0,1,0,0,1,1.8649567e-05,6.197581e-06,8.723558e-06,0.0,4.1991043e-06,3.776981e-05,0.49376917,0.16408823,0.23096642,0.0,0.111176215,traffic,0.49376917,traffic,False,True,True,True,False,1.9603435e-06,5.5794976e-06,6.665679e-06,0.0,4.7119e-06,1.8917422e-05,0.103626356,0.29493964,0.3523566,0.0,0.24907728,urban,0.3523566,urban,False,True,True,True,False
STA-FR36021,FR,44.56944,5.27897,1.59273769,62.7618735,9.163201318,0,0,1,1,0,0,2.3497532e-06,0.0,4.1008516e-07,0.0,9.0814535e-07,3.6679837e-06,0.6406117,0.0,0.11180125,0.0,0.24758707,traffic,0.6406117,traffic,False,True,False,True,False,2.4519747e-07,0.0,1.019534e-06,0.0,1.38615e-06,2.6508815e-06,0.09249658,0.0,0.3846019,0.0,0.52290154,urban,0.3846019,other,True,True,False,True,False
STA-SI0001A,SI,46.23451,15.26248,25.8248695,45.63349448,28.31638418,0,0,1,0,0,1,2.3008344e-05,6.56857e-05,2.320799e-05,0.0,3.0016312e-05,0.00014191835,0.16212381,0.46284148,0.16353057,0.0,0.21150409,industrial,0.46284148,industrial,False,True,True,True,False,2.9886685e-06,0.00010192501,4.875821e-05,0.0,7.329338e-06,0.00016100123,0.018563017,0.6330698,0.30284372,0.0,0.045523494,industrial,0.6330698,industrial,False,True,True,True,False
