run,sample_id,pollutant,source_category,signed_shap_sum,positive_shap_sum,abs_shap_sum,source_rank_abs,source_rank_positive
2,1994,o3,urban_anthropogenic,0.036200630861217435,0.06293217615408707,0.08966372144695671,5,4
2,2028,o3,geographic_context,1.3019083877474054,1.339866700375522,1.3778250130036387,1,1
2,2028,o3,industrial,0.41825248588857894,0.41825248588857894,0.41825248588857894,2,2
2,2028,o3,meteorological_condition,0.38717131041432334,0.3871713104143234,0.3871713104143234,3,3
2,2028,o3,port_shipping,0.01743015083811481,0.018260362901912356,0.019090574965709907,6,6
2,2028,o3,traffic,-0.008870884118727964,0.054113353718140605,0.11709759155500918,4,5
2,2028,o3,urban_anthropogenic,0.07801232301319011,0.09073578741419344,0.10345925181519677,5,4
2,2129,o3,geographic_context,0.9694658983540984,1.0032050378863788,1.0369441774186592,1,1
2,2129,o3,industrial,-0.09114767727328592,0.029132014779366847,0.1494117068320196,4,3
2,2129,o3,meteorological_condition,-0.10732793550725292,0.011103082055507597,0.12953409961826812,5,5
2,2129,o3,port_shipping,0.008370398829124989,0.009544131034091229,0.01071786323905747,6,6
2,2129,o3,traffic,0.5711467209551571,0.5711467209551571,0.5711467209551571,2,2
2,2129,o3,urban_anthropogenic,-0.135619679129156,0.01241504494545492,0.16044976902006586,3,4
2,2175,o3,geographic_context,0.4435508211312863,0.48947741627184305,0.5354040114123998,2,2
2,2175,o3,industrial,0.017779234915444975,0.059988401389742915,0.10219756786404086,5,4
2,2175,o3,meteorological_condition,0.8978317035824448,0.8978317035824448,0.8978317035824448,1,1
2,2175,o3,port_shipping,0.05177679279171321,0.05845640983001969,0.06513602686832617,6,5
2,2175,o3,traffic,-0.15931997205514103,0.02297521367863505,0.20527039941241115,3,6
2,2175,o3,urban_anthropogenic,0.11809954316248414,0.11809954316248414,0.11809954316248414,4,3
2,2370,o3,geographic_context,1.3840203093117438,1.4315702896311864,1.4791202699506287,1,1
2,2370,o3,industrial,0.3398523640804011,0.3398523640804011,0.3398523640804011,3,3
2,2370,o3,meteorological_condition,-0.03891277809968059,0.04068693664442714,0.12028665138853487,5,5
2,2370,o3,port_shipping,0.014073636937123707,0.014359492285273721,0.014645347633423735,6,6
