run,sample_id,pollutant,feature_name,feature_value_raw,feature_value_norm,shap_value,abs_shap,shap_rank_abs,shap_sign,source_category
4,2746,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.006459093093727843,0.006459093093727843,21,negative,port_shipping
4,2746,pm10,num_industrial_landuse_500m,0.0,-0.5307933537897446,-0.004376165188663404,0.004376165188663404,22,negative,industrial
4,2746,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
4,2780,pm10,Longitude,21.44094,1.3126364841762048,1.3729857118841529,1.3729857118841529,1,positive,geographic_context
4,2780,pm10,Latitude,50.29913,0.9227695847435983,-0.19178498965436433,0.19178498965436433,2,negative,geographic_context
4,2780,pm10,num_roads_1km,745.0,0.2986945467174351,0.17787755402579922,0.17787755402579922,3,positive,traffic
4,2780,pm10,num_industrial_landuse_1km,10.0,0.7231985726945893,0.11383686492739284,0.11383686492739284,4,positive,industrial
4,2780,pm10,num_buildings_1km,1748.0,-0.17591817616665303,0.1044220555412747,0.1044220555412747,5,positive,urban_anthropogenic
4,2780,pm10,Altitude,167.0,-0.31045726570987475,0.07244059703516888,0.07244059703516888,6,positive,geographic_context
4,2780,pm10,urban,1.0,0.9693384774922439,0.06700977553773654,0.06700977553773654,7,positive,urban_anthropogenic
4,2780,pm10,ship_density_5km,0.0,-0.332199815255663,0.05898633649733848,0.05898633649733848,8,positive,port_shipping
4,2780,pm10,Wind_3yr,2.74404197080292,0.305814309785833,-0.045330642641770016,0.045330642641770016,9,negative,meteorological_condition
4,2780,pm10,Temp_3yr,10.058248175182484,-0.7785705771439946,0.03905926469855349,0.03905926469855349,10,positive,meteorological_condition
4,2780,pm10,ship_density_10km,0.0,-0.3187453966742202,0.03361372896812564,0.03361372896812564,11,positive,port_shipping
4,2780,pm10,Stability_3yr,0.2013868613138686,0.2013868613138686,-0.03148340721618656,0.03148340721618656,12,negative,meteorological_condition
4,2780,pm10,RH_3yr,77.56651459854014,0.29871593020933174,0.03118315811184939,0.03118315811184939,13,positive,meteorological_condition
4,2780,pm10,num_buildings_500m,457.0,-0.2557101558787271,-0.02733147426081122,0.02733147426081122,14,negative,urban_anthropogenic
4,2780,pm10,traffic,0.0,-0.3281059132780248,-0.025460954641754137,0.025460954641754137,15,negative,traffic
4,2780,pm10,PopulationDensity,136.0,-0.32297124534522637,-0.021719271149848514,0.021719271149848514,16,negative,urban_anthropogenic
4,2780,pm10,num_factory_1km,0.0,-0.1735841355973231,0.01754676387739345,0.01754676387739345,17,positive,industrial
4,2780,pm10,num_roads_500m,192.0,0.15159309643582633,0.008294080805907978,0.008294080805907978,18,positive,traffic
4,2780,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.007912553919364108,0.007912553919364108,19,negative,port_shipping
4,2780,pm10,rural,0.0,-0.5536674263920707,0.007583530637011475,0.007583530637011475,20,positive,geographic_context
4,2780,pm10,num_industrial_landuse_500m,1.0,-0.0690662422038175,-0.004441113181082196,0.004441113181082196,21,negative,industrial
4,2780,pm10,Precip_3yr,1.7200547445255472,-0.5897629261117618,0.0014300361672411875,0.0014300361672411875,22,positive,meteorological_condition
4,2780,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
4,2814,pm10,Longitude,20.95593,1.26119886889635,1.2632539633515538,1.2632539633515538,1,positive,geographic_context
4,2814,pm10,Latitude,52.40758,1.3606324584522154,-0.24123079116033638,0.24123079116033638,2,negative,geographic_context
4,2814,pm10,num_roads_1km,412.0,-0.36582350543595205,0.12352463241969078,0.12352463241969078,3,positive,traffic
4,2814,pm10,Altitude,91.0,-0.5930656405624993,-0.1112617340273342,0.1112617340273342,4,negative,geographic_context
4,2814,pm10,num_buildings_1km,1958.0,-0.08585377531807338,0.11030158671789267,0.11030158671789267,5,positive,urban_anthropogenic
4,2814,pm10,urban,0.0,-1.031631389055225,-0.09594979331052941,0.09594979331052941,6,negative,urban_anthropogenic
4,2814,pm10,num_industrial_landuse_1km,10.0,0.7231985726945893,0.09382535091262502,0.09382535091262502,7,positive,industrial
4,2814,pm10,Stability_3yr,0.1868704379562044,0.1868704379562044,-0.05216274316816676,0.05216274316816676,8,negative,meteorological_condition
4,2814,pm10,ship_density_5km,0.0,-0.332199815255663,0.045730283898681244,0.045730283898681244,9,positive,port_shipping
4,2814,pm10,num_roads_500m,100.0,-0.4608039941036481,-0.03991455913225137,0.03991455913225137,10,negative,traffic
4,2814,pm10,PopulationDensity,206.1,-0.25884642135227265,0.037777379257144736,0.037777379257144736,11,positive,urban_anthropogenic
4,2814,pm10,RH_3yr,78.25569343065692,0.4242750184415802,0.03711367795992286,0.03711367795992286,12,positive,meteorological_condition
4,2814,pm10,Wind_3yr,2.993102189781021,0.5734306050640124,-0.029444468803010403,0.029444468803010403,13,negative,meteorological_condition
4,2814,pm10,ship_density_10km,0.0,-0.3187453966742202,0.027937383630487662,0.027937383630487662,14,positive,port_shipping
4,2814,pm10,traffic,0.0,-0.3281059132780248,-0.025691012102797974,0.025691012102797974,15,negative,traffic
4,2814,pm10,Temp_3yr,9.596249999999998,-0.9315509658127641,0.024958074351627585,0.024958074351627585,16,positive,meteorological_condition
4,2814,pm10,Precip_3yr,1.7002463503649634,-0.6194896036763178,-0.023283388595181084,0.023283388595181084,17,negative,meteorological_condition
4,2814,pm10,num_industrial_landuse_500m,3.0,0.8543879809680367,0.018203308473726507,0.018203308473726507,18,positive,industrial
